Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,number,Income,Revenue,
708082083,Blue,200,0,87,01/01/2023,Week-1,Q1,2023,3544,1661,15149,111,0.469,Chip ,Travel,4393.21,0,1,202326,19742.21,0.962729427
708083283,Blue,445,1,108,01/01/2023,Week-1,Q1,2023,3421,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,2,5225,1506.44,
708084558,Blue,140,0,106,01/01/2023,Week-1,Q1,2023,8258,1771,1447,23,0.214,Chip ,Bills,202.58,0,3,14235,1789.58,
708085458,Blue,250,1,150,01/01/2023,Week-1,Q1,2023,1438.3,0,3940,82,0,Online ,Grocery,236.4,0,4,45683,4426.4,
708086958,Blue,320,1,106,01/01/2023,Week-1,Q1,2023,3128,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,5,59279,5693.87,
708095133,Blue,100,0,94,01/01/2023,Week-1,Q1,2023,33304,1833,1448,29,0.055,Swipe ,Bills,275.12,0,6,14254,1823.12,
708098133,Blue,225,1,75,01/01/2023,Week-1,Q1,2023,2834,1418,1598,39,0.5,Swipe ,Bills,159.8,1,7,14975,1982.8,
708099183,Blue,400,1,75,01/01/2023,Week-1,Q1,2023,5723,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,8,31982,3541.8,
708100533,Blue,200,1,64,01/01/2023,Week-1,Q1,2023,2679,2277,4943,85,0.85,Chip ,Food,988.6,0,9,86668,6131.6,
708103608,Platinum,95,1,80,01/01/2023,Week-1,Q1,2023,11898,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,10,223196,19684.52,
708104658,Blue,455,1,118,01/01/2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732,0,11,33625,4115,
708108333,Blue,485,0,86,01/01/2023,Week-1,Q1,2023,5590,0,1507,32,0,Swipe ,Entertainment,150.7,0,12,14975,2142.7,
708112008,Blue,440,1,86,01/01/2023,Week-1,Q1,2023,23510,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,13,14975,2566.08,
708113208,Blue,300,1,149,01/01/2023,Week-1,Q1,2023,1688,0,4375,69,0,Chip ,Fuel,525,0,14,59416,5200,
708117933,Blue,360,0,70,01/01/2023,Week-1,Q1,2023,1880,0,2469,34,0,Chip ,Bills,419.73,1,15,28122,3248.73,
708119658,Blue,340,0,44,01/01/2023,Week-1,Q1,2023,12836,1034,2519,53,0.081,Swipe ,Bills,554.18,0,16,29021,3413.18,
708121908,Blue,405,0,71,01/01/2023,Week-1,Q1,2023,22917,0,2045,45,0,Swipe ,Grocery,265.85,0,17,20632,2715.85,
708123033,Silver,355,0,78,01/01/2023,Week-1,Q1,2023,11463,0,14511,105,0,Swipe ,Fuel,3047.31,0,18,172101,17913.31,
708125733,Blue,220,0,69,01/01/2023,Week-1,Q1,2023,1438.3,0,4311,77,0,Swipe ,Entertainment,1207.08,0,19,57168,5738.08,
708128733,Blue,125,1,105,01/01/2023,Week-1,Q1,2023,1814,0,5014,99,0,Swipe ,Entertainment,1303.64,0,20,89954,6442.64,
708129933,Blue,350,1,77,01/01/2023,Week-1,Q1,2023,2072,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,21,53762,5444.1,
708132783,Blue,250,1,92,01/01/2023,Week-1,Q1,2023,16411,1179,3929,71,0.072,Swipe ,Food,785.8,1,22,45476,4964.8,
708134283,Blue,125,1,101,01/01/2023,Week-1,Q1,2023,3131,629,1483,31,0.201,Swipe ,Food,311.43,0,23,14975,1919.43,
708136908,Blue,110,1,73,01/01/2023,Week-1,Q1,2023,2616,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,24,72878,5370.15,
708139833,Blue,460,0,111,01/01/2023,Week-1,Q1,2023,6391,0,2323,44,0,Swipe ,Grocery,441.37,0,25,25667,3224.37,
708145908,Blue,320,0,78,01/01/2023,Week-1,Q1,2023,4906,2185,3999,71,0.445,Swipe ,Bills,959.76,0,26,47224,5278.76,
708147108,Blue,320,0,112,01/01/2023,Week-1,Q1,2023,21084,2517,2309,71,0.119,Swipe ,Travel,277.08,0,27,25341,2906.08,
708148158,Blue,175,0,73,01/01/2023,Week-1,Q1,2023,1827,0,4207,86,0,Swipe ,Fuel,925.54,0,28,53644,5307.54,
708151008,Blue,440,1,86,01/01/2023,Week-1,Q1,2023,6250,644,2433,41,0.103,Swipe ,Fuel,486.6,0,29,27423,3359.6,
708152358,Blue,335,1,101,01/01/2023,Week-1,Q1,2023,18512,1664,8019,57,0.09,Swipe ,Food,721.71,0,30,110014,9075.71,
708153558,Blue,375,0,150,01/01/2023,Week-1,Q1,2023,34516,1802,7936,101,0.052,Swipe ,Fuel,634.88,0,31,109186,8945.88,
708154833,Blue,250,0,82,01/01/2023,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0,32,25835,3216.72,
708155733,Blue,335,0,88,01/01/2023,Week-1,Q1,2023,14734,1634,1289,23,0.111,Swipe ,Bills,296.47,0,33,11345,1920.47,
708158133,Blue,110,1,131,01/01/2023,Week-1,Q1,2023,3031,2517,2188,50,0.83,Swipe ,Bills,350.08,1,34,23215,2648.08,
708160008,Blue,375,1,96,01/01/2023,Week-1,Q1,2023,34516,1058,7412,84,0.031,Swipe ,Bills,1927.12,0,35,103581,9714.12,
708161133,Blue,150,1,99,01/01/2023,Week-1,Q1,2023,6629,1389,3891,69,0.21,Swipe ,Fuel,466.92,0,36,44555,4507.92,
708162558,Blue,420,0,88,01/01/2023,Week-1,Q1,2023,3250,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1,37,12381,1964.7,
708163758,Platinum,470,0,158,01/01/2023,Week-1,Q1,2023,34516,638,13085,139,0.018,Swipe ,Bills,2355.3,0,38,123809,15910.3,
708170508,Blue,250,0,72,01/01/2023,Week-1,Q1,2023,1438.3,0,1651,42,0,Swipe ,Entertainment,462.28,0,39,14975,2363.28,
708171858,Blue,100,1,104,01/01/2023,Week-1,Q1,2023,1864,1081,2607,44,0.58,Swipe ,Fuel,312.84,0,40,30586,3019.84,
708173433,Blue,285,0,40,01/01/2023,Week-1,Q1,2023,5645,2324,2482,57,0.412,Swipe ,Food,496.4,0,41,28367,3263.4,
708174708,Blue,175,1,69,01/01/2023,Week-1,Q1,2023,5535,1276,1764,38,0.231,Swipe ,Fuel,194.04,0,42,15355,2133.04,
708176208,Blue,465,1,89,01/01/2023,Week-1,Q1,2023,7268,0,4199,80,0,Swipe ,Food,587.86,0,43,53428,5251.86,
708177333,Silver,460,1,107,01/01/2023,Week-1,Q1,2023,11261,2485,1158,26,0.221,Swipe ,Bills,243.18,0,44,7865,1861.18,
708178608,Blue,300,0,111,01/01/2023,Week-1,Q1,2023,2488,0,4226,73,0,Chip ,Grocery,253.56,0,45,54304,4779.56,
708185208,Blue,110,1,74,01/01/2023,Week-1,Q1,2023,3178,1118,2010,31,0.352,Swipe ,Bills,180.9,0,46,20100,2300.9,
708186933,Blue,195,1,102,01/01/2023,Week-1,Q1,2023,1819,725,2254,45,0.399,Swipe ,Bills,270.48,0,47,24295,2719.48,
708190158,Blue,175,0,113,01/01/2023,Week-1,Q1,2023,2920,2426,2750,41,0.831,Swipe ,Food,632.5,0,48,32103,3557.5,
708193008,Blue,340,0,148,01/01/2023,Week-1,Q1,2023,14480,0,1616,43,0,Online ,Entertainment,387.84,0,49,14975,2343.84,
708195633,Silver,110,1,70,01/01/2023,Week-1,Q1,2023,34516,1182,2440,54,0.034,Online ,Entertainment,488,0,50,27517,3038,
708197358,Blue,225,0,111,01/01/2023,Week-1,Q1,2023,30543,264,7784,63,0.009,Online ,Food,622.72,1,51,107887,8631.72,
708204033,Blue,295,0,86,01/01/2023,Week-1,Q1,2023,2980,2093,4132,70,0.702,Chip ,Travel,826.4,1,52,51233,5253.4,
708205083,Blue,125,1,151,01/01/2023,Week-1,Q1,2023,1438.3,0,4815,81,0,Chip ,Travel,337.05,1,53,79516,5277.05,
708207783,Blue,355,1,107,01/01/2023,Week-1,Q1,2023,1477,0,4680,80,0,Swipe ,Entertainment,514.8,1,54,73959,5549.8,
708208758,Blue,275,1,85,01/01/2023,Week-1,Q1,2023,1826,883,2199,48,0.484,Swipe ,Fuel,571.74,1,55,23377,3045.74,
708211383,Blue,200,0,111,01/01/2023,Week-1,Q1,2023,2664,0,3906,74,0,Online ,Fuel,1054.62,1,56,44883,5160.62,
708212658,Blue,190,1,70,01/01/2023,Week-1,Q1,2023,2193,1260,1799,47,0.575,Swipe ,Bills,521.71,1,57,16041,2510.71,
708216108,Blue,300,1,93,01/01/2023,Week-1,Q1,2023,4088,1557,2250,39,0.381,Swipe ,Bills,157.5,1,58,24221,2707.5,
708217758,Blue,475,0,96,01/01/2023,Week-1,Q1,2023,14035,2061,1606,30,0.147,Swipe ,Bills,385.44,1,59,14975,2466.44,
708219108,Blue,300,1,95,01/01/2023,Week-1,Q1,2023,9959,1143,7300,77,0.115,Swipe ,Grocery,803,1,60,102561,8403,
708219858,Blue,390,1,79,01/01/2023,Week-1,Q1,2023,6423,0,4295,70,0,Swipe ,Food,901.95,0,61,56697,5586.95,
708222558,Blue,125,1,109,01/01/2023,Week-1,Q1,2023,2310,1513,4191,77,0.655,Chip ,Food,712.47,0,62,53022,5028.47,
708223383,Blue,295,0,81,01/01/2023,Week-1,Q1,2023,11410,979,2736,38,0.086,Chip ,Bills,793.44,0,63,32013,3824.44,
708224133,Blue,430,1,105,01/01/2023,Week-1,Q1,2023,2228,1480,4431,71,0.664,Swipe ,Grocery,841.89,0,64,62192,5702.89,
708225483,Blue,200,1,68,01/01/2023,Week-1,Q1,2023,11242,1561,4246,81,0.139,Swipe ,Entertainment,806.74,0,65,55061,5252.74,
708226833,Gold,415,0,96,01/01/2023,Week-1,Q1,2023,34516,831,13247,107,0.024,Swipe ,Food,1192.23,0,66,127461,14854.23,
708229308,Blue,245,1,72,01/01/2023,Week-1,Q1,2023,3243,0,6059,71,0,Swipe ,Fuel,727.08,0,67,100839,7031.08,
708231183,Blue,460,0,92,01/01/2023,Week-1,Q1,2023,12539,910,2643,72,0.073,Swipe ,Grocery,290.73,0,68,31127,3393.73,
708234558,Blue,200,0,88,01/01/2023,Week-1,Q1,2023,2239,1340,4540,73,0.598,Chip ,Entertainment,635.6,0,69,67827,5375.6,
708238833,Blue,365,1,61,01/01/2023,Week-1,Q1,2023,3032,2215,1387,30,0.731,Swipe ,Fuel,152.57,0,70,12994,1904.57,
708241233,Blue,95,0,73,01/01/2023,Week-1,Q1,2023,2972,0,922,25,0,Swipe ,Bills,138.3,0,71,5225,1155.3,
708242283,Blue,295,1,59,01/01/2023,Week-1,Q1,2023,5346,0,3253,80,0,Swipe ,Food,325.3,0,72,35755,3873.3,
708243483,Blue,250,0,119,01/01/2023,Week-1,Q1,2023,14938,1155,2248,51,0.077,Swipe ,Bills,427.12,0,73,24156,2925.12,
708244458,Blue,405,1,91,01/01/2023,Week-1,Q1,2023,2793,1517,3485,72,0.543,Swipe ,Food,383.35,0,74,37888,4273.35,
708245808,Gold,455,0,78,01/01/2023,Week-1,Q1,2023,19671,924,13908,124,0.047,Swipe ,Travel,2503.44,0,75,145701,16866.44,
708248358,Silver,200,1,67,01/01/2023,Week-1,Q1,2023,29937,0,14863,109,0,Online ,Bills,1932.19,0,76,186885,16995.19,
708249708,Blue,300,1,92,01/01/2023,Week-1,Q1,2023,4844,1576,1489,48,0.325,Swipe ,Fuel,253.13,0,77,14975,2042.13,
708252108,Blue,475,1,162,01/01/2023,Week-1,Q1,2023,7362,1907,4065,65,0.259,Chip ,Fuel,243.9,0,78,49229,4783.9,
708253458,Blue,125,1,113,01/01/2023,Week-1,Q1,2023,5528,1823,4857,81,0.33,Swipe ,Food,1408.53,0,79,81622,6390.53,
708254733,Blue,325,1,73,01/01/2023,Week-1,Q1,2023,2968,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0,80,95152,6737.04,
708255633,Blue,200,0,110,01/01/2023,Week-1,Q1,2023,3761,1710,3240,65,0.455,Swipe ,Fuel,550.8,0,81,35666,3990.8,
708260208,Blue,150,1,86,01/01/2023,Week-1,Q1,2023,2057,1279,4321,76,0.622,Chip ,Food,1123.46,0,82,57686,5594.46,
708266883,Blue,355,0,136,01/01/2023,Week-1,Q1,2023,1666,0,2312,35,0,Swipe ,Food,184.96,0,83,25423,2851.96,
708267858,Blue,140,0,115,01/01/2023,Week-1,Q1,2023,6088,2145,2098,52,0.352,Swipe ,Entertainment,482.54,0,84,21500,2720.54,
708269583,Blue,335,1,102,01/01/2023,Week-1,Q1,2023,2029,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0,85,47653,5352.5,
708271833,Silver,195,1,63,01/01/2023,Week-1,Q1,2023,15069,1843,3464,67,0.122,Online ,Bills,831.36,0,86,37680,4490.36,
708272808,Blue,150,0,76,01/01/2023,Week-1,Q1,2023,2718,1474,3542,59,0.542,Chip ,Fuel,566.72,0,87,38560,4258.72,
708273858,Blue,355,1,112,01/01/2023,Week-1,Q1,2023,34516,0,3734,80,0,Swipe ,Fuel,522.76,0,88,41203,4611.76,
708276183,Blue,375,0,91,01/01/2023,Week-1,Q1,2023,1760,0,1554,35,0,Swipe ,Bills,279.72,0,89,14975,2208.72,
708281433,Blue,335,0,81,01/01/2023,Week-1,Q1,2023,1438.3,0,3848,75,0,Swipe ,Food,269.36,0,90,43626,4452.36,
708285108,Blue,420,1,80,01/01/2023,Week-1,Q1,2023,6128,2239,13505,116,0.365,Swipe ,Fuel,1620.6,1,91,131861,15545.6,
708286683,Blue,250,0,67,01/01/2023,Week-1,Q1,2023,12045,1749,4884,86,0.145,Swipe ,Bills,1123.32,1,92,83306,6257.32,
708288108,Blue,360,1,118,01/01/2023,Week-1,Q1,2023,5639,1547,647,15,0.274,Swipe ,Bills,135.87,1,93,1250,1142.87,
708290208,Silver,355,1,109,01/01/2023,Week-1,Q1,2023,13608,1190,3118,76,0.087,Chip ,Entertainment,841.86,1,94,34835,4314.86,
708291633,Blue,390,1,100,01/01/2023,Week-1,Q1,2023,4651,2499,5097,79,0.537,Swipe ,Entertainment,1223.28,1,95,92894,6710.28,
708292833,Blue,150,1,59,01/01/2023,Week-1,Q1,2023,27389,1250,2754,60,0.046,Online ,Bills,247.86,1,96,32170,3151.86,
708295533,Blue,250,0,106,01/01/2023,Week-1,Q1,2023,3549,1880,1215,22,0.53,Swipe ,Travel,230.85,1,97,10119,1695.85,
708296883,Blue,280,0,93,01/01/2023,Week-1,Q1,2023,11749,788,1178,27,0.067,Swipe ,Travel,259.16,1,98,8250,1717.16,
708298233,Blue,125,0,72,01/01/2023,Week-1,Q1,2023,6184,0,1756,49,0,Swipe ,Fuel,456.56,1,99,15092,2337.56,
708300483,Blue,245,0,110,01/01/2023,Week-1,Q1,2023,7882,605,704,16,0.077,Swipe ,Travel,197.12,1,100,1250,1146.12,
708301683,Blue,125,0,89,01/01/2023,Week-1,Q1,2023,20798,1059,8038,90,0.051,Swipe ,Food,2009.5,0,101,110415,10172.5,
708303108,Blue,175,0,88,01/01/2023,Week-1,Q1,2023,1770,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0,102,86574,6152.4,
708307533,Blue,345,0,89,01/01/2023,Week-1,Q1,2023,3086,0,4129,81,0,Swipe ,Food,371.61,0,103,51165,4845.61,
708313608,Blue,245,1,61,01/01/2023,Week-1,Q1,2023,2464,2116,2110,43,0.859,Swipe ,Food,274.3,0,104,21659,2629.3,
708314808,Blue,100,1,111,01/01/2023,Week-1,Q1,2023,5659,1393,1570,40,0.246,Swipe ,Fuel,298.3,0,105,14975,1968.3,
708316008,Blue,345,1,108,01/01/2023,Week-1,Q1,2023,10031,0,1792,29,0,Swipe ,Fuel,394.24,0,106,15806,2531.24,
708319908,Blue,300,0,92,01/01/2023,Week-1,Q1,2023,4116,1473,8667,70,0.358,Online ,Travel,1820.07,0,107,116230,10787.07,
708323208,Blue,290,1,118,01/01/2023,Week-1,Q1,2023,1522,0,2241,36,0,Swipe ,Food,403.38,0,108,24058,2934.38,
708324483,Blue,290,1,70,01/01/2023,Week-1,Q1,2023,1548,0,4420,71,0,Chip ,Bills,707.2,0,109,61485,5417.2,
708330858,Blue,250,1,133,01/01/2023,Week-1,Q1,2023,8249,1381,678,11,0.167,Swipe ,Travel,122.04,0,110,1250,1050.04,
708331758,Silver,250,0,120,01/01/2023,Week-1,Q1,2023,32444,1843,3725,60,0.057,Swipe ,Fuel,409.75,0,111,41112,4384.75,
708332808,Blue,470,1,111,01/01/2023,Week-1,Q1,2023,3471,0,14381,115,0,Swipe ,Fuel,3163.82,0,112,166923,18014.82,
708334158,Blue,200,0,98,01/01/2023,Week-1,Q1,2023,9863,686,3068,58,0.07,Chip ,Entertainment,306.8,0,113,34512,3574.8,
708337683,Blue,465,1,98,01/01/2023,Week-1,Q1,2023,21800,893,3820,62,0.041,Chip ,Entertainment,573,0,114,42779,4858,
708338958,Blue,200,1,54,01/01/2023,Week-1,Q1,2023,3173,1713,3797,75,0.54,Chip ,Bills,341.73,0,115,42334,4338.73,
708340758,Blue,300,0,88,01/01/2023,Week-1,Q1,2023,7769,0,8109,74,0,Chip ,Grocery,1054.17,0,116,111220,9463.17,
708341958,Blue,175,1,75,01/01/2023,Week-1,Q1,2023,2061,1904,4480,86,0.924,Swipe ,Food,716.8,0,117,64665,5371.8,
708344358,Blue,125,1,81,01/01/2023,Week-1,Q1,2023,2495,1354,1311,31,0.543,Swipe ,Travel,249.09,0,118,11638,1685.09,
708347583,Blue,465,1,42,01/01/2023,Week-1,Q1,2023,2509,1144,1804,38,0.456,Swipe ,Grocery,378.84,0,119,16112,2647.84,
708354858,Blue,200,0,58,01/01/2023,Week-1,Q1,2023,14938,0,8192,80,0,Swipe ,Bills,491.52,0,120,111730,8883.52,
708355683,Blue,285,0,46,01/01/2023,Week-1,Q1,2023,16815,0,2976,65,0,Swipe ,Fuel,624.96,0,121,34013,3885.96,
708357183,Blue,300,1,139,01/01/2023,Week-1,Q1,2023,1438.3,0,3511,64,0,Chip ,Fuel,702.2,0,122,38164,4513.2,
708358683,Silver,100,0,92,01/01/2023,Week-1,Q1,2023,34516,1236,1665,40,0.036,Swipe ,Bills,449.55,0,123,14975,2214.55,
708360108,Blue,245,1,71,01/01/2023,Week-1,Q1,2023,2800,1338,4869,90,0.478,Chip ,Grocery,779.04,0,124,82412,5893.04,
708361833,Blue,460,0,76,01/01/2023,Week-1,Q1,2023,19430,0,3650,80,0,Swipe ,Fuel,511,0,125,39861,4621,
